Site,Location,Days_Exposure,Avg_temp,t_Degree_days,Leaf,Mesh,X0_R1,Xt_R1,X0_R2,Xt_R2,X0_R3,Xt_R3,X0_R4,Xt_R4,k_R1,k_R2,k_R3,k_R4
1,Downstream,21,8.08104313,169.701906,Alder,Fine,4.939,4.363,4.973,4.297,4.976,4.096,5.032,4.222,0.000730711,0.000860958,0.001146808,0.001034217
2,Downstream,21,7.11884488,149.495743,Alder,Fine,4.922,3.81,4.949,4.259,5.05,4.296,4.977,4.27,0.001712997,0.001004384,0.001081662,0.001024868
3,Downstream,21,6.99796321,146.957227,Alder,Fine,4.971,3.399,4.948,3.98,4.995,3.839,4.947,3.75,0.002586737,0.001481395,0.001791171,0.001885076
4,Downstream,21,7.08394329,148.762809,Alder,Fine,4.951,3.825,4.997,3.716,4.999,3.707,4.905,3.825,0.001734514,0.001991021,0.002010012,0.001671766
5,Downstream,21,7.12088566,149.538599,Alder,Fine,5.014,4.47,4.903,4.331,5.016,4.385,4.985,3.859,0.000768,0.000829544,0.000899053,0.001712102
6,Enclosure,21,6.49353764,136.36429,Alder,Fine,4.926,4.468,4.987,4.445,5.01,4.691,5.028,4.354,0.00071563,0.00084373,0.000482459,0.001055462
7,Enclosure,21,6.57681014,138.113013,Alder,Fine,5.058,3.645,4.94,3.743,5.005,3.748,4.948,3.604,0.002372078,0.002009064,0.002094046,0.002294781
8,Enclosure,21,7.0634995,148.333489,Alder,Fine,5.072,4.724,4.945,4.825,5.079,4.731,4.97,4.713,0.000479186,0.000165615,0.000478501,0.000357945
9,Enclosure,21,7.14860279,150.120659,Alder,Fine,4.909,4.763,4.935,4.945,4.994,4.642,5.063,4.938,0.000201122,-1.34844E-05,0.000486888,0.000166525
10,Enclosure,21,7.45223632,156.496963,Alder,Fine,4.94,4,5.053,3.922,5.031,3.666,4.903,3.738,0.001348722,0.001619075,0.002022516,0.001733558
