Site,Location,Leaf,Mesh,Replicate,k,Gammarus,cased_caddis,caseless_caddis,large_bodied,Xt,,,,,,,
1,Downstream,Alder,Fine,R1,0.000730711,,,,,4.363,,,,,,,
1,Downstream,Alder,Fine,R2,0.000860958,,,,,4.297,,,,,,,
1,Downstream,Alder,Fine,R3,0.001146808,,,,,4.096,,,,,,,
1,Downstream,Alder,Fine,R4,0.001034217,,,,,4.222,,,,,,,
2,Downstream,Alder,Fine,R1,0.001712997,,,,,3.81,,,,,,,
2,Downstream,Alder,Fine,R2,0.001004384,,,,,4.259,,,,,,,
2,Downstream,Alder,Fine,R3,0.001081662,,,,,4.296,,,,,,,
2,Downstream,Alder,Fine,R4,0.001024868,,,,,4.27,,,,,,,
3,Downstream,Alder,Fine,R1,0.002586737,,,,,3.399,,,,,,,
3,Downstream,Alder,Fine,R2,0.001481395,,,,,3.98,,,,,,,
3,Downstream,Alder,Fine,R3,0.001791171,,,,,3.839,,,,,,,
3,Downstream,Alder,Fine,R4,0.001885076,,,,,3.75,,,,,,,
4,Downstream,Alder,Fine,R1,0.001734514,,,,,3.825,,,,,,,
4,Downstream,Alder,Fine,R2,0.001991021,,,,,3.716,,,,,,,
4,Downstream,Alder,Fine,R3,0.002010012,,,,,3.707,,,,,,,
4,Downstream,Alder,Fine,R4,0.001671766,,,,,3.825,,,,,,,
5,Downstream,Alder,Fine,R1,0.000768,,,,,4.47,,,,,,,
5,Downstream,Alder,Fine,R2,0.000829544,,,,,4.331,,,,,,,
5,Downstream,Alder,Fine,R3,0.000899053,,,,,4.385,,,,,,,
5,Downstream,Alder,Fine,R4,0.001712102,,,,,3.859,,,,,,,
6,Enclosure,Alder,Fine,R1,0.00071563,,,,,4.468,,,,,,,
6,Enclosure,Alder,Fine,R2,0.00084373,,,,,4.445,,,,,,,
6,Enclosure,Alder,Fine,R3,0.000482459,,,,,4.691,,,,,,,
6,Enclosure,Alder,Fine,R4,0.001055462,,,,,4.354,,,,,,,
7,Enclosure,Alder,Fine,R1,0.002372078,,,,,3.645,,,,,,,
7,Enclosure,Alder,Fine,R2,0.002009064,,,,,3.743,,,,,,,
7,Enclosure,Alder,Fine,R3,0.002094046,,,,,3.748,,,,,,,
7,Enclosure,Alder,Fine,R4,0.002294781,,,,,3.604,,,,,,,
8,Enclosure,Alder,Fine,R1,0.000479186,,,,,4.724,,,,,,,
8,Enclosure,Alder,Fine,R2,0.000165615,,,,,4.825,,,,,,,
8,Enclosure,Alder,Fine,R3,0.000478501,,,,,4.731,,,,,,,
8,Enclosure,Alder,Fine,R4,0.000357945,,,,,4.713,,,,,,,
9,Enclosure,Alder,Fine,R1,0.000201122,,,,,4.763,,,,,,,
9,Enclosure,Alder,Fine,R2,-1.35E-05,,,,,4.945,,,,,,,
9,Enclosure,Alder,Fine,R3,0.000486888,,,,,4.642,,,,,,,
9,Enclosure,Alder,Fine,R4,0.000166525,,,,,4.938,,,,,,,
10,Enclosure,Alder,Fine,R1,0.001348722,,,,,4,,,,,,,
10,Enclosure,Alder,Fine,R2,0.001619075,,,,,3.922,,,,,,,
10,Enclosure,Alder,Fine,R3,0.002022516,,,,,3.666,,,,,,,
10,Enclosure,Alder,Fine,R4,0.001733558,,,,,3.738,,,,,,,
11,Control,Alder,Fine,R1,0.001927232,,,,,3.686,,,,,,,
11,Control,Alder,Fine,R2,0.001446736,,,,,4.024,,,,,,,
11,Control,Alder,Fine,R3,0.00231284,,,,,3.549,,,,,,,
11,Control,Alder,Fine,R4,0.002910008,,,,,3.248,,,,,,,
12,Control,Alder,Fine,R1,0.001984541,,,,,3.723,,,,,,,
12,Control,Alder,Fine,R2,0.001368156,,,,,4.061,,,,,,,
12,Control,Alder,Fine,R3,0.001295903,,,,,4.119,,,,,,,
12,Control,Alder,Fine,R4,0.001286484,,,,,4.19,,,,,,,
13,Control,Alder,Fine,R1,0.001739921,,,,,3.91,,,,,,,
13,Control,Alder,Fine,R2,0.000785036,,,,,4.515,,,,,,,
13,Control,Alder,Fine,R3,0.00099033,,,,,4.302,,,,,,,
13,Control,Alder,Fine,R4,0.000812037,,,,,4.442,,,,,,,
14,Control,Alder,Fine,R1,0.001959945,,,,,3.69,,,,,,,
14,Control,Alder,Fine,R2,0.00201302,,,,,3.723,,,,,,,
14,Control,Alder,Fine,R3,0.002000968,,,,,3.673,,,,,,,
14,Control,Alder,Fine,R4,0.002135675,,,,,3.606,,,,,,,
15,Control,Alder,Fine,R1,0.003526613,,,,,2.922,,,,,,,
15,Control,Alder,Fine,R2,0.002852315,,,,,3.257,,,,,,,
15,Control,Alder,Fine,R3,0.003671129,,,,,2.843,,,,,,,
15,Control,Alder,Fine,R4,0.002926543,,,,,3.206,,,,,,,
1,Downstream,Alder,Coarse,R1,0.003345917,10,2,1,13,2.848,,,,,,,
1,Downstream,Alder,Coarse,R2,0.002238839,4,2,1,7,3.425,,,,,,,
1,Downstream,Alder,Coarse,R3,0.005207599,6,0,0,6,2.067,,,,,,,
1,Downstream,Alder,Coarse,R4,0.003932444,24,0,0,24,2.532,,,,,,,
2,Downstream,Alder,Coarse,R1,0.017633122,0,1,0,1,0.36,,,,,,,
2,Downstream,Alder,Coarse,R2,0.022282952,0,0,0,0,0.179,,,,,,,
2,Downstream,Alder,Coarse,R3,0.014810746,0,0,0,0,0.547,,,,,,,
2,Downstream,Alder,Coarse,R4,0.02096184,0,0,0,0,0.219,,,,,,,
3,Downstream,Alder,Coarse,R1,0.021079994,1,0,1,2,0.226,,,,,,,
3,Downstream,Alder,Coarse,R2,0.024382055,0,0,0,0,0.139,,,,,,,
3,Downstream,Alder,Coarse,R3,0.022334051,0,0,0,0,0.188,,,,,,,
3,Downstream,Alder,Coarse,R4,0.023072195,5,0,0,5,0.168,,,,,,,
4,Downstream,Alder,Coarse,R1,0.017749364,1,0,0,1,0.36,,,,,,,
4,Downstream,Alder,Coarse,R2,0.016228507,7,0,0,7,0.448,,,,,,,
4,Downstream,Alder,Coarse,R3,0.015587999,19,0,0,19,0.492,,,,,,,
4,Downstream,Alder,Coarse,R4,0.007456801,0,0,0,0,1.645,,,,,,,
5,Downstream,Alder,Coarse,R1,0.008218271,17,4,0,21,1.463,,,,,,,
5,Downstream,Alder,Coarse,R2,0.011933112,10,0,0,10,0.848,,,,,,,
5,Downstream,Alder,Coarse,R3,0.009463223,9,0,0,9,1.214,,,,,,,
5,Downstream,Alder,Coarse,R4,0.011645335,7,0,0,7,0.876,,,,,,,
6,Enclosure,Alder,Coarse,R1,0.022346818,0,0,0,0,0.239,,,,,,,
6,Enclosure,Alder,Coarse,R2,0.020482446,0,0,0,0,0.305,,,,,,,
6,Enclosure,Alder,Coarse,R3,0.020310222,1,0,0,1,0.313,,,,,,,
6,Enclosure,Alder,Coarse,R4,0.007698452,9,0,0,9,1.77,,,,,,,
7,Enclosure,Alder,Coarse,R1,0.00311047,0,0,0,0,3.289,,,,,,,
7,Enclosure,Alder,Coarse,R2,0.003240323,0,0,0,0,3.15,,,,,,,
7,Enclosure,Alder,Coarse,R3,0.004173342,0,0,0,0,2.854,,,,,,,
7,Enclosure,Alder,Coarse,R4,0.002945987,0,0,0,0,3.298,,,,,,,
8,Enclosure,Alder,Coarse,R1,0.003573218,0,0,0,0,2.94,,,,,,,
8,Enclosure,Alder,Coarse,R2,0.005722516,0,0,0,0,2.128,,,,,,,
8,Enclosure,Alder,Coarse,R3,0.005016464,0,0,0,0,2.343,,,,,,,
8,Enclosure,Alder,Coarse,R4,0.012687803,1,1,0,2,0.771,,,,,,,
9,Enclosure,Alder,Coarse,R1,0.020772533,0,1,0,1,0.223,,,,,,,
