,Site,Location,Leaf,Mesh,Replicate,k,Gammarus,cased_caddis,caseless_caddis,large_bodied,Xt
1,2,Downstream,Alder,Coarse,R1,0.098019641,12,0,0,12,1.275
2,2,Downstream,Alder,Coarse,R2,0.104677804,4,0,0,4,1.18
3,2,Downstream,Alder,Coarse,R3,0.096886972,15,0,0,15,1.274
4,2,Downstream,Alder,Coarse,R4,0.097773829,16,0,0,16,1.271
5,3,Downstream,Alder,Coarse,R1,0.044229322,8,0,0,8,2.694
6,3,Downstream,Alder,Coarse,R2,0.060195533,22,1,1,24,2.135
7,3,Downstream,Alder,Coarse,R3,0.06920468,29,2,1,32,1.934
8,3,Downstream,Alder,Coarse,R4,0.056794047,33,0,0,33,2.245
9,4,Downstream,Alder,Coarse,R1,0.062099791,27,0,0,27,2.065
10,4,Downstream,Alder,Coarse,R2,0.090827041,8,0,0,8,1.414
11,4,Downstream,Alder,Coarse,R3,0.106633832,1,0,0,1,1.107
12,4,Downstream,Alder,Coarse,R4,0.082348489,19,0,0,19,1.584
13,5,Downstream,Alder,Coarse,R1,0.038994747,35,0,0,35,2.9
14,5,Downstream,Alder,Coarse,R2,0.032681399,8,0,0,8,3.199
15,5,Downstream,Alder,Coarse,R3,0.029473217,11,0,1,12,3.34
16,5,Downstream,Alder,Coarse,R4,0.039579009,31,0,1,32,2.912
17,6,Enclosure,Alder,Coarse,R1,0.060930174,0,0,0,0,2.14
18,6,Enclosure,Alder,Coarse,R2,0.05035719,4,0,0,4,2.474
19,6,Enclosure,Alder,Coarse,R3,0.046529203,6,0,0,6,2.593
20,6,Enclosure,Alder,Coarse,R4,0.069079284,0,0,0,0,1.899
21,7,Enclosure,Alder,Coarse,R1,0.042645477,11,0,0,11,2.75
22,7,Enclosure,Alder,Coarse,R2,0.022640859,2,0,0,2,3.684
23,7,Enclosure,Alder,Coarse,R3,0.03212379,19,0,0,19,3.233
24,7,Enclosure,Alder,Coarse,R4,0.050699808,26,0,0,26,2.442
25,8,Enclosure,Alder,Coarse,R1,0.145282641,13,1,0,14,0.655
26,8,Enclosure,Alder,Coarse,R2,0.131582107,9,0,0,9,0.803
27,8,Enclosure,Alder,Coarse,R3,0.146061743,9,1,0,10,0.651
28,8,Enclosure,Alder,Coarse,R4,0.065298954,27,0,0,27,1.997
29,9,Enclosure,Alder,Coarse,R1,0.045203925,0,0,0,0,2.632
30,9,Enclosure,Alder,Coarse,R2,0.154640265,0,0,0,0,0.574
31,9,Enclosure,Alder,Coarse,R3,0.188999421,2,0,0,2,0.349
32,9,Enclosure,Alder,Coarse,R4,0.184390851,0,0,0,0,0.374
33,10,Enclosure,Alder,Coarse,R1,0.119813358,0,0,0,0,0.933
34,10,Enclosure,Alder,Coarse,R2,0.17253941,1,0,0,1,0.444
35,10,Enclosure,Alder,Coarse,R3,0.148719718,1,0,0,1,0.616
36,10,Enclosure,Alder,Coarse,R4,0.133338711,0,0,0,0,0.762
37,11,Control,Alder,Coarse,R1,0.071065419,11,1,0,12,1.868
38,11,Control,Alder,Coarse,R2,0.019775947,0,0,0,0,3.787
39,11,Control,Alder,Coarse,R3,0.025954126,0,0,0,0,3.46
40,11,Control,Alder,Coarse,R4,0.026834066,0,0,0,0,3.43
41,12,Control,Alder,Coarse,R1,0.178499993,0,0,0,0,0.411
42,12,Control,Alder,Coarse,R2,0.163331307,0,0,0,0,0.512
43,12,Control,Alder,Coarse,R3,0.184047759,2,0,0,2,0.385
44,12,Control,Alder,Coarse,R4,0.174531849,0,0,0,0,0.435
45,13,Control,Alder,Coarse,R1,0.024045122,11,0,0,11,3.583
46,13,Control,Alder,Coarse,R2,0.024056684,5,0,0,5,3.556
47,13,Control,Alder,Coarse,R3,0.026918839,1,0,0,1,3.452
48,13,Control,Alder,Coarse,R4,0.025321333,0,0,0,0,3.542
49,14,Control,Alder,Coarse,R1,0.037005233,5,0,0,5,2.942
50,14,Control,Alder,Coarse,R2,0.033353377,4,0,0,4,3.154
51,14,Control,Alder,Coarse,R3,0.032284652,2,0,0,2,3.206
52,14,Control,Alder,Coarse,R4,0.034520441,1,0,0,1,3.085
53,15,Control,Alder,Coarse,R1,0.120278755,1,0,0,1,0.921
54,15,Control,Alder,Coarse,R2,0.148245251,0,1,0,1,0.625
55,15,Control,Alder,Coarse,R3,0.167160613,0,0,0,0,0.482
56,15,Control,Alder,Coarse,R4,0.153106907,0,2,0,2,0.582
113,2,Downstream,Oak,Coarse,R1,0.012826116,0,0,0,0,3.408
114,2,Downstream,Oak,Coarse,R2,0.02211098,0,0,0,0,2.54
115,2,Downstream,Oak,Coarse,R3,0.008825766,0,0,0,0,3.772
116,2,Downstream,Oak,Coarse,R4,0.018515808,0,0,1,1,2.822
117,3,Downstream,Oak,Coarse,R1,0.018155782,6,0,1,7,2.885
118,3,Downstream,Oak,Coarse,R2,0.013308046,11,0,0,11,3.282
119,3,Downstream,Oak,Coarse,R3,0.014717742,3,0,0,3,3.148
