Site,Location,Dats_Exposure,X_empty,Type,M0,M0_c,Mt,Mt_c,k,
1,Downstream,31,0.134,Green,1.758401,1.624401,,,,
2,Downstream,31,0.134,Green,1.758401,1.624401,0.916,0.782,0.023581925,
3,Downstream,31,0.134,Green,1.758401,1.624401,0.843,0.709,0.02674319,
4,Downstream,31,0.134,Green,1.758401,1.624401,0.815,0.681,0.028042971,
5,Downstream,31,0.134,Green,1.758401,1.624401,0.614,0.48,0.039326074,
6,Enclosure,31,0.134,Green,1.758401,1.624401,0.72,0.586,0.032889504,
7,Enclosure,31,0.134,Green,1.758401,1.624401,0.812,0.678,0.028185391,
8,Enclosure,31,0.134,Green,1.758401,1.624401,0.703,0.569,0.033839161,
9,Enclosure,31,0.134,Green,1.758401,1.624401,0.685,0.551,0.034876116,
10,Enclosure,31,0.134,Green,1.758401,1.624401,0.564,0.43,0.04287449,
11,Control,31,0.134,Green,1.758401,1.624401,0.877,0.743,0.025232205,
12,Control,31,0.134,Green,1.758401,1.624401,0.79,0.656,0.029249472,
13,Control,31,0.134,Green,1.758401,1.624401,0.79,0.656,0.029249472,
14,Control,31,0.134,Green,1.758401,1.624401,0.687,0.553,0.034759239,
15,Control,31,0.134,Green,1.758401,1.624401,0.584,0.45,0.041407962,
1,Downstream,31,0.134,Rooibos,2.136948,2.002948,,,,
2,Downstream,31,0.134,Rooibos,2.136948,2.002948,1.786,1.652,0.006213981,
3,Downstream,31,0.134,Rooibos,2.136948,2.002948,1.62,1.486,0.009630069,
4,Downstream,31,0.134,Rooibos,2.136948,2.002948,1.721,1.587,0.00750886,
5,Downstream,31,0.134,Rooibos,2.136948,2.002948,1.528,1.394,0.011691703,
6,Enclosure,31,0.134,Rooibos,2.136948,2.002948,1.639,1.505,0.009220232,
7,Enclosure,31,0.134,Rooibos,2.136948,2.002948,1.593,1.459,0.010221575,
8,Enclosure,31,0.134,Rooibos,2.136948,2.002948,1.611,1.477,0.009826035,
9,Enclosure,31,0.134,Rooibos,2.136948,2.002948,1.546,1.412,0.011277837,
10,Enclosure,31,0.134,Rooibos,2.136948,2.002948,1.405,1.271,0.014671487,
11,Control,31,0.134,Rooibos,2.136948,2.002948,1.618,1.484,0.009673515,
12,Control,31,0.134,Rooibos,2.136948,2.002948,0.348,0.214,0.072141915,* broken
13,Control,31,0.134,Rooibos,2.136948,2.002948,1.699,1.565,0.00795917,
14,Control,31,0.134,Rooibos,2.136948,2.002948,1.652,1.518,0.008942788,
15,Control,31,0.134,Rooibos,2.136948,2.002948,1.494,1.36,0.012488239,
