Site,Leaf,Mesh,Location,Days_Exposure,X0_R1,Xt_R1,X0_R2,Xt_R2,X0_R3,Xt_R3,X0_R4,Xt_R4,k_R1,k_R2,k_R3,k_R4
1,Alder,Coarse,Downstream,14,4.947,,4.94,,5.01,,4.936,,,,,
2,Alder,Coarse,Downstream,14,5.029,1.275,5.109,1.18,4.946,1.274,4.996,1.271,0.098019641,0.104677804,0.096886972,0.097773829
3,Alder,Coarse,Downstream,14,5.004,2.694,4.959,2.135,5.096,1.934,4.972,2.245,0.044229322,0.060195533,0.06920468,0.056794047
4,Alder,Coarse,Downstream,14,4.926,2.065,5.043,1.414,4.926,1.107,5.017,1.584,0.062099791,0.090827041,0.106633832,0.082348489
5,Alder,Coarse,Downstream,14,5.006,2.9,5.055,3.199,5.046,3.34,5.068,2.912,0.038994747,0.032681399,0.029473217,0.039579009
6,Alder,Coarse,Enclosure,14,5.022,2.14,5.007,2.474,4.974,2.593,4.995,1.899,0.060930174,0.05035719,0.046529203,0.069079284
7,Alder,Coarse,Enclosure,14,4.996,2.75,5.058,3.684,5.069,3.233,4.966,2.442,0.042645477,0.022640859,0.03212379,0.050699808
8,Alder,Coarse,Enclosure,14,5.007,0.655,5.067,0.803,5.031,0.651,4.982,1.997,0.145282641,0.131582107,0.146061743,0.065298954
9,Alder,Coarse,Enclosure,14,4.956,2.632,5.002,0.574,4.92,0.349,4.943,0.374,0.045203925,0.154640265,0.188999421,0.184390851
10,Alder,Coarse,Enclosure,14,4.993,0.933,4.971,0.444,4.941,0.616,4.928,0.762,0.119813358,0.17253941,0.148719718,0.133338711
11,Alder,Coarse,Control,14,5.052,1.868,4.995,3.787,4.976,3.46,4.994,3.43,0.071065419,0.019775947,0.025954126,0.026834066
12,Alder,Coarse,Control,14,5.002,0.411,5.039,0.512,5.064,0.385,5.008,0.435,0.178499993,0.163331307,0.184047759,0.174531849
13,Alder,Coarse,Control,14,5.017,3.583,4.98,3.556,5.032,3.452,5.049,3.542,0.024045122,0.024056684,0.026918839,0.025321333
14,Alder,Coarse,Control,14,4.939,2.942,5.031,3.154,5.038,3.206,5.002,3.085,0.037005233,0.033353377,0.032284652,0.034520441
15,Alder,Coarse,Control,14,4.961,0.921,4.98,0.625,5.005,0.482,4.964,0.582,0.120278755,0.148245251,0.167160613,0.153106907
1,Alder,Fine,Downstream,14,4.913,,4.962,,5.054,,4.945,,,,,
2,Alder,Fine,Downstream,14,4.939,4.05,5.052,4.218,4.933,4.129,4.939,4.48,0.014174714,0.012887366,0.012708005,0.006967131
